872,2019.08.17,16,1262705579,46,73200324,2018,1668591,99681,50000,1715898,5000,2,4,30,32,33,43,29   871,2019.08.10,7,2718071358,61,51984972,2231,1421374,108666,50000,1792357,5000,2,6,12,26,30,34,38   870,2019.08.03,10,1928842988,48,66973715,2033,1581279,102000,50000,1705285,5000,21,25,30,32,40,42,31
869,2019.07.27,10,1922582588,56,57219720,2210,1449912,108562,50000,1814332,5000,2,6,20,27,37,39,4
868,2019.07.20,6,3233804250,61,53013185,2152,1502698,109133,50000,1789491,5000,12,17,28,41,43,44,25
867,2019.07.13,5,3933755250,57,57511042,2175,1507186,109516,50000,1820552,5000,14,17,19,22,24,40,41
866,2019.07.06,9,2240409000,68,49420787,2035,1651408,104919,50000,1770017,5000,9,15,29,34,37,39,12
865,2019.06.29,13,1551729145,52,64655382,2076,1619499,104626,50000,1749234,5000,3,15,22,32,33,45,2
864,2019.06.22,11,1716553637,64,49172110,2467,1275645,122913,50000,1957675,5000,3,7,10,13,25,36,32
863,2019.06.15,7,2853357322,64,52014327,2042,1630224,104949,50000,1753097,5000,16,21,28,35,39,43,12
862,2019.06.08,9,2190922709,63,52164827,2042,1609395,104765,50000,1755036,5000,10,34,38,40,42,43,32
861,2019.06.01,4,4872108844,65,49970348,2256,1439749,108644,50000,1819899,5000,11,17,19,21,22,25,24
860,2019.05.25,10,1879899825,62,50534942,2339,1339533,128867,50000,1882931,5000,4,8,18,25,27,32,42
859,2019.05.18,11,1853927489,51,66644453,1895,1793598,97729,50000,1678945,5000,8,22,35,38,39,41,24
858,2019.05.11,9,2202347459,41,80573688,2075,1592059,106176,50000,1789295,5000,9,13,32,38,39,43,23
857,2019.05.04,15,1284915425,62,51811106,2367,1357114,111971,50000,1833940,5000,6,10,16,28,34,38,43
856,2019.04.27,5,3977927550,53,62546031,1949,1700842,104537,50000,1700369,5000,10,24,40,41,43,44,17
855,2019.04.20,9,2269510500,61,55807636,2022,1683614,102532,50000,1765328,5000,8,15,17,19,43,44,7
854,2019.04.13,6,3421706750,44,77766063,1865,1834696,99152,50000,1716083,5000,20,25,31,32,36,43,3
853,2019.04.06,7,2885006786,90,37398237,2018,1667910,105158,50000,1787511,5000,2,8,23,26,27,44,13
852,2019.03.30,4,4801543407,67,47776552,2328,1375013,114850,50000,1876933,5000,11,17,28,30,33,35,9
851,2019.03.23,8,2483692313,70,47308425,2101,1576197,106132,50000,1750048,5000,14,18,22,26,31,44,40
850,2019.03.16,6,3377587875,55,61410689,2023,1669594,101591,50000,1727367,5000,16,20,24,28,36,39,5
849,2019.03.09,17,1158252883,56,58602081,2682,1223608,113125,50000,1851371,5000,5,13,17,29,34,39,3
848,2019.03.02,7,3011580858,42,83655024,2109,1665961,103845,50000,1792259,5000,1,2,16,22,38,39,34
847,2019.02.23,8,2520846657,40,84028222,2443,1375821,114324,50000,1857205,5000,12,16,26,28,30,42,22
