66,로또명당가두판매점,7,경기 안양시 동안구 경수대로 848-2 동안구가로판매대2005-00065,37.393027,126.943146
67,로또복권두정점,7,충남 천안시 서북구 두정로 251 대원빌딩104호,36.833525,127.144994
68,로또복권 하대점,7,경남 진주시 도동로 188,35.18704,128.122461
69,로터리편의마트,7,경북 포항시 북구 서동로 85 육거리,36.040746,129.36725
70,버스표판매소,7,경기 고양시 덕양구 화신로 76 샘터마을1단지아파트 971번지선,37.61898,126.840309
71,복권방,7,부산 사하구 장림번영로 25,35.080996,128.968201
72,복권명당,7,충남 공주시 번영1로 41,36.471849,127.133128
73,소리창고,7,서울 강서구 강서로 306,37.552882,126.836773
74,서재강변로또,7,대구 달성군 다사읍 서재로 172 (서재리),35.878704,128.497461
75,세방매점,7,경북 경주시 유림로13번길 166 대성주유소,35.877158,129.226563
76,왕대박복권방,7,경북 문경시 중앙로 15 (모전동),36.588126,128.19293
77,원스탑,7,서울 송파구 백제고분로7길 39,37.511065,127.083348
78,지원물산,7,서울 노원구 공릉로 108 (공릉동),37.619843,127.078118
79,주택복권방,7,경기 용인시 수지구 풍덕천로 144-1 103호,37.323896,127.097463
80,중앙로또,7,"경북 칠곡군 북삼로 41 복권판매점	",36.0714807,128.3428388
81,종합복권슈퍼,7,경기 시흥시 마유로 336 정일빌딩104,37.345731,126.735625
82,천하명당복권,7,대구 북구 칠곡중앙대로 545,35.944313,128.55062
83,헬로마트,7,서울 도봉구 도봉로170길 8 (도봉동),37.680317,127.045967
84,CU(군포덕산점),6,"경기 군포시 고산로250번길 32 덕산아파트 덕산아파트상가 1층	",37.348831,126.945267
85,G마트,6,서울 영등포구 디지털로 387,37.491652,126.902134
86,가로판매소,6,서울 구로구 새말로 117-24 (신도림역2번출구)(구로동),37.5078605,126.8918904
87,가판14호,6,서울 중구 퇴계로 37,37.557836,126.976735
88,경성식품,6,서울 동대문구 망우로21길 52,37.590526,127.060204
89,교통카드충전소,6,경기 고양시 덕양구 화정로 지하 60 화정역 2번출구,37.63457,126.833235
90,다모아복권,6,서울 구로구 경인로19길 4,37.495915,126.84278
91,다터져복권방,6,경기 평택시 합정동 734-7,36.991225,127.091534
92,대박복권방,6,경기 연천군 전곡읍 전곡리 480-16번지,38.026033,127.067687
93,대박행진 복권랜드,6,경기 파주시 금빛로 22 금촌프라자107호,37.751629,126.766934
94,대성기획,6,경기 용인시 기흥구 구성로 75-1,37.294891,127.117897
95,대원슈퍼마켓,6,부산 수영구 수영로 524,35.152441,129.11204
